Media Source,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
@BBCNews,Sun Jun 10 06:56:26 +0000 2018,Arkady Babchenko: Fake Ukrainian killer details plot https://t.co/V752HtaGsi,-0.8126,0.0,0.448,0.552,1
@BBCNews,Sun Jun 10 05:48:49 +0000 2018,Canadian Grand Prix: All you need to know https://t.co/qBNmxJC3mO,0.4588,0.273,0.727,0.0,2
@BBCNews,Sun Jun 10 05:48:49 +0000 2018,French Open 2018: Rafael Nadal says he needs to be at his best to win 11th Roland Garros https://t.co/2rXAWReLiM,0.8402,0.32,0.68,0.0,3
@BBCNews,Sun Jun 10 05:48:49 +0000 2018,50 Great World Cup moments: England win in 1966 https://t.co/yyZ1REKjzi,0.836,0.497,0.503,0.0,4
@BBCNews,Sun Jun 10 04:44:19 +0000 2018,Brexit; Amber Rudd urges rebels to back PM in EU vote https://t.co/Q5Asu95NsG,-0.2023,0.0,0.859,0.141,5
@BBCNews,Sun Jun 10 03:56:06 +0000 2018,Deadly stabbing on Japan bullet train https://t.co/MNzzyhMyPJ,0.0,0.0,1.0,0.0,6
@BBCNews,Sun Jun 10 03:23:44 +0000 2018,https://t.co/oTJC9wPcai 'downplayed Russian links' https://t.co/QKk4zjmtPE,0.0,0.0,1.0,0.0,7
@BBCNews,Sun Jun 10 03:19:09 +0000 2018,Earthquake near Hull and Grimsby 'felt 100km away' https://t.co/itnh3leva2,0.0,0.0,1.0,0.0,8
@BBCNews,Sun Jun 10 03:12:03 +0000 2018,Canada 10-48 Scotland https://t.co/VKszD2zq16,0.0,0.0,1.0,0.0,9
@BBCNews,Sun Jun 10 00:43:16 +0000 2018,Mass march marks 100 years of women's vote https://t.co/wdL2U1Mdt3,0.0,0.0,1.0,0.0,10
@BBCNews,Sun Jun 10 00:10:52 +0000 2018,Reality Check: Are dating apps behind syphilis rise? https://t.co/CFZXdhsRmk,0.0,0.0,1.0,0.0,11
@BBCNews,Sun Jun 10 00:10:52 +0000 2018,Your pictures: Paths https://t.co/kQRnRa9Omh,0.0,0.0,1.0,0.0,12
@BBCNews,Sun Jun 10 00:10:51 +0000 2018,Long watch: Russia's dirty secret https://t.co/q8z7kTOc3m,-0.4404,0.0,0.633,0.367,13
@BBCNews,Sun Jun 10 00:10:51 +0000 2018,Kimberley Benson aka Viper: 'People wrote me off because of my size' https://t.co/aB1RgPDvFi,0.0,0.0,1.0,0.0,14
@BBCNews,Sun Jun 10 00:10:51 +0000 2018,Serial poopers: What makes people poo in public places? https://t.co/gtQzBDVvV9,0.0,0.0,1.0,0.0,15
@BBCNews,Sun Jun 10 00:10:51 +0000 2018,'Like the hand of God thrusting you up the road' https://t.co/kjxiev595h,0.7783,0.494,0.506,0.0,16
@BBCNews,Sun Jun 10 00:10:51 +0000 2018,"Vinyl records, music and Dragons' Den: The man who started in music at 13 https://t.co/F50JAWHHei",0.0,0.0,1.0,0.0,17
@BBCNews,Sun Jun 10 00:10:51 +0000 2018,Big fight to bring arm wrestling to South Africa's townships https://t.co/WixEzrI0Pr,-0.3818,0.0,0.794,0.206,18
@BBCNews,Sun Jun 10 00:10:51 +0000 2018,Shakira on her vocal problems: 'I doubted I'd ever sing again' https://t.co/KZeIZN2eIU,-0.5859,0.0,0.676,0.324,19
@BBCNews,Sun Jun 10 00:10:51 +0000 2018,"Storm over India film on women who 'smoke, drink and have sex' https://t.co/gjCqUg2H8U",0.0,0.0,1.0,0.0,20
@BBCNews,Sat Jun 09 23:50:08 +0000 2018,Man dies in stabbing near Turnpike Lane station in Haringey https://t.co/xYviUeyYDk,0.0,0.0,1.0,0.0,21
@BBCNews,Sat Jun 09 23:38:48 +0000 2018,French Open 2018: Champion Simona Halep thought chance to win 'had gone' https://t.co/Y7bHuWlRrf,0.8658,0.492,0.508,0.0,22
@BBCNews,Sat Jun 09 23:22:59 +0000 2018,England coach Eddie Jones plays down confrontation with South Africa fans https://t.co/QZvUYW64Al,-0.0772,0.14,0.699,0.161,23
@BBCNews,Sat Jun 09 23:20:41 +0000 2018,Firms will have to justify pay gap between workers and bosses https://t.co/9UFEK33JJQ,-0.1027,0.0,0.887,0.113,24
@BBCNews,Sat Jun 09 23:18:24 +0000 2018,Kitchen towels 'can cause food poisoning' https://t.co/KMg9EV51cv,-0.5859,0.0,0.612,0.388,25
@BBCNews,Sat Jun 09 23:18:24 +0000 2018,Belmont Stakes: Justify completes US Flat racing Triple Crown https://t.co/3BUKwEuM2V,0.0,0.0,1.0,0.0,26
@BBCNews,Sat Jun 09 22:37:06 +0000 2018,The Papers: https://t.co/oTJC9wPcai's 'Russian links' in spotlight https://t.co/ZG0SyNrE2G,0.0,0.0,1.0,0.0,27
@BBCNews,Sat Jun 09 22:25:21 +0000 2018,May says G7 will act over Russia's 'malign activity' https://t.co/3NOnT0IThk,0.0,0.0,1.0,0.0,28
@BBCNews,Sat Jun 09 22:16:18 +0000 2018,G7 commits to 'rules-based trading system' despite tensions with US https://t.co/bapRU3DoKM,0.3309,0.272,0.728,0.0,29
@BBCNews,Sat Jun 09 22:09:04 +0000 2018,Tyson Fury: Briton beats Sefer Seferi in comeback fight https://t.co/OZ6jh5Q6V1,-0.743,0.0,0.559,0.441,30
